CustomerID,Age,Annual_Income,Spending_Score
1,26,12600,73
2,23,14363,83
3,27,14061,85
4,24,12241,84
5,26,14041,77
6,29,14824,83
7,22,19513,77
8,26,14612,85
9,27,19041,82
10,24,13363,87
11,23,18235,84
12,27,17486,82
13,27,19099,78
14,22,13478,84
15,25,19595,82
16,24,14556,70
17,21,12775,76
18,27,16014,78
19,25,12034,70
20,21,18349,81
21,24,15152,77
22,20,13955,80
23,29,13585,88
24,25,15943,86
25,28,19555,77
26,20,15073,72
27,29,13021,72
28,22,15461,70
29,26,14613,74
30,23,17225,79
31,28,15843,76
32,22,19989,78
33,24,13500,76
34,22,16798,78
35,26,18545,77
36,24,18873,81
37,28,17675,71
38,26,12161,70
39,21,16297,85
40,23,13981,74
41,42,62408,39
42,51,63755,30
43,47,60116,26
44,45,67383,20
45,50,61019,20
46,42,56757,39
47,40,69820,32
48,42,62574,28
49,44,61374,22
50,54,61892,26
51,53,56678,25
52,42,58242,27
53,40,59636,28
54,44,56059,24
55,49,61668,20
56,46,68471,38
57,54,64914,29
58,53,66506,31
59,46,58157,34
60,50,60915,28
61,48,65817,39
62,54,65921,36
63,54,69892,36
64,49,64789,39
65,49,66252,31
66,51,57693,26
67,52,68083,21
68,42,68339,22
69,54,68931,36
70,46,58627,24
71,30,128227,80
72,37,118680,67
73,30,129360,82
74,30,128343,78
75,31,115759,82
76,31,112385,66
77,35,121111,67
78,36,114736,80
79,34,111802,73
80,30,118155,68
81,30,118120,65
82,32,116616,68
83,31,124257,65
84,34,124486,78
85,39,126646,80
86,35,124075,84
87,36,119208,72
88,33,126371,71
89,36,121835,67
90,37,123168,81
91,30,112049,65
92,35,115423,80
93,37,124589,76
94,34,129492,83
95,33,117158,78
96,31,120248,70
97,35,117400,70
98,35,129554,77
99,30,119874,83
100,38,125151,72
101,35,128639,66
102,32,111154,65
103,33,114499,79
104,33,116295,65
105,32,122183,69
106,39,122874,80
107,32,128032,83
108,32,115539,68
109,33,119637,67
110,36,125586,81
